Gene,Diplotype,Phenotype_CPIC_Format,Phenotype_Simplified,Phenotype_Category,Activity_Score,EHR_Priority
CYP2C9,*2/*5,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*2/*50,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*2/*51,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*52,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*2/*53,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*54,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*55,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*2/*56,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*57,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*58,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*59,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*6,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*2/*60,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*61,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*2/*62,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*63,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*64,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*65,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*66,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*67,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*68,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*69,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*7,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*70,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*71,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*72,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*73,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*74,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*75,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*2/*8,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*2/*9,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.5,Abnormal/Priority/High Risk
CYP2C9,*20/*20,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*21,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*22,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*23,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*24,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*25,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*26,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*27,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*28,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*29,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*30,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*31,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*32,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*33,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*34,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*35,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*36,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*37,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*38,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*39,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*40,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*41,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*42,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*43,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*44,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*45,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*46,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*47,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*48,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*49,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*50,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*51,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*52,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*53,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*54,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*55,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*56,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*57,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*58,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*59,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*60,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*61,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*62,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*63,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*64,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*65,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*66,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*67,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*68,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*69,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*70,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*71,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*72,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*73,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*74,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*20/*75,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*21,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*22,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*23,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*24,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*25,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*26,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*27,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*28,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*29,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*30,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*31,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*32,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*33,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*34,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*35,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*36,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*37,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*38,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*39,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*40,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*41,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*42,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*43,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*44,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*45,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*46,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*47,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*48,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*49,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*50,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*51,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*52,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*53,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*54,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*55,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*56,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*57,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*58,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*59,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*60,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*61,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*62,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*63,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*64,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*65,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*66,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*67,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*68,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*69,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*70,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*71,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*72,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*73,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*74,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*21/*75,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*22,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*23,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*24,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*25,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*26,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*27,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*28,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*29,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*30,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*31,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*32,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*33,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*34,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*35,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*36,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*37,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*38,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*39,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*40,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*41,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*42,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*43,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*44,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*45,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*46,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*47,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*48,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*49,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*50,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*51,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*52,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*53,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*54,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*55,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*56,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*57,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*58,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*59,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*60,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*61,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*62,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*63,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*64,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*65,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*66,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*67,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*68,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*69,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*70,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*71,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*72,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*73,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*74,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*22/*75,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*23,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*23/*24,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*23/*25,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*23/*26,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*23/*27,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*28,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*23/*29,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*23/*30,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*23/*31,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*23/*32,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*33,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*23/*34,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*35,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*23/*36,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*37,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*23/*38,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*23/*39,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*23/*40,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*41,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*42,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*23/*43,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*23/*44,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*23/*45,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*23/*46,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*23/*47,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*48,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*49,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*50,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*23/*51,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*52,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*23/*53,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*54,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*55,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*23/*56,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*57,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*58,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*59,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*60,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*61,CYP2C9 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2C9,*23/*62,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*63,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*64,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*65,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*66,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*67,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*68,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*69,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*70,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*71,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*72,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*73,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*74,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*23/*75,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*24,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.0,Abnormal/Priority/High Risk
CYP2C9,*24/*25,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.0,Abnormal/Priority/High Risk
CYP2C9,*24/*26,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*24/*27,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*28,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*24/*29,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*24/*30,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*24/*31,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*24/*32,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*33,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.0,Abnormal/Priority/High Risk
CYP2C9,*24/*34,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*35,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.0,Abnormal/Priority/High Risk
CYP2C9,*24/*36,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*37,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*24/*38,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*24/*39,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.0,Abnormal/Priority/High Risk
CYP2C9,*24/*40,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*41,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*42,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.0,Abnormal/Priority/High Risk
CYP2C9,*24/*43,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.0,Abnormal/Priority/High Risk
CYP2C9,*24/*44,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*24/*45,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.0,Abnormal/Priority/High Risk
CYP2C9,*24/*46,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*24/*47,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*48,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*49,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*50,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*24/*51,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*52,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.0,Abnormal/Priority/High Risk
CYP2C9,*24/*53,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*54,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*55,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*24/*56,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*57,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*58,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*59,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*60,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*61,CYP2C9 Poor Metabolizer,Poor Metabolizer,Poor,0.5,Abnormal/Priority/High Risk
CYP2C9,*24/*62,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*63,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*64,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*65,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
CYP2C9,*24/*66,CYP2C9 Indeterminate,Indeterminate,Indeterminate,,none
